Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
Atl Goianiense;35;251;54.4;54;40;5;6;96;6;51;28;5;5;87;4;0;0;12;0;0;;;;;0;;;;;;1;;;;;;9;5;5;30;25;32;7;6;6;27;26;27;16;11;11;59;;6
Avaí;32;270;45.3;49;31;5;8;98;6;32;21;6;7;107;9;0;0;14;1;0;;;;;2;;;;;;4;;;;;;7;8;4;21;14;29;9;5;5;29;18;32;16;13;9;61;Promovido;3
Boa;49;258;46.8;26;21;3;4;98;9;48;39;4;7;100;1;0;0;6;3;0;;;;;5;;;;;;0;;;;;;6;4;9;18;23;22;1;5;13;8;26;8;7;9;22;30;Rebaixado;20
Brasil de Pelotas;37;287;49.1;36;28;1;1;107;5;33;27;3;3;109;6;0;0;15;0;0;;;;;4;;;;;;4;;;;;;7;5;7;21;17;26;6;6;7;15;18;24;13;11;14;50;;11
CRB;36;289;50.2;33;19;2;3;87;7;39;24;3;4;87;4;0;0;10;1;0;;;;;3;;;;;;2;;;;;;9;7;3;23;16;34;3;5;11;12;23;14;12;12;14;48;;12
CSA;37;290;47.1;48;31;4;5;96;2;37;25;3;3;93;9;0;0;16;0;0;;;;;1;;;;;;3;;;;;;10;4;5;27;16;34;7;7;5;24;21;28;17;11;10;62;Promovido;2
Coritiba;39;264;50.9;39;28;5;6;106;6;43;26;6;9;88;6;0;0;12;1;2;;;;;5;;;;;;3;;;;;;11;5;3;20;12;38;2;8;9;20;32;14;13;13;12;52;;10
Criciúma;39;267;48.2;45;26;7;8;114;13;47;35;1;1;110;10;0;0;12;0;0;;;;;4;;;;;;4;;;;;;7;9;3;26;19;30;4;5;10;19;30;17;11;14;13;47;;14
Figueirense;37;267;52.7;47;31;3;4;99;6;50;34;5;6;110;6;0;0;9;1;0;;;;;2;;;;;;4;;;;;;5;7;7;24;27;22;6;6;7;24;24;24;11;13;14;46;;15
Fortaleza;37;271;58.7;53;34;5;6;96;2;32;21;2;4;113;8;0;0;14;1;1;;;;;2;;;;;;4;;;;;;13;4;2;34;15;43;8;4;7;20;18;28;21;8;9;71;Promovido;1
Goiás;33;262;52.2;54;41;1;2;95;3;48;37;3;4;105;9;0;0;6;0;1;;;;;3;;;;;;7;;;;;;9;4;6;24;22;31;9;2;8;30;28;29;18;6;14;60;Promovido;4
Guarani;41;252;51.6;42;25;4;4;85;3;39;28;2;3;108;6;0;0;14;0;1;;;;;3;;;;;;3;;;;;;9;4;6;24;20;31;5;8;6;20;19;23;14;12;12;54;;9
Juventude;39;277;48.8;26;19;1;1;113;7;48;32;3;4;99;6;0;0;12;1;0;;;;;1;;;;;;3;;;;;;3;7;9;12;26;16;4;7;8;15;22;19;7;14;17;35;Rebaixado;19
Londrina;45;273;48.4;44;26;9;11;115;6;41;24;4;4;104;5;0;0;12;0;0;;;;;4;;;;;;1;;;;;;11;2;6;33;23;35;4;8;7;12;19;20;15;10;13;55;;8
Oeste;38;254;49.3;35;28;0;0;88;4;34;24;4;6;81;3;0;0;14;2;0;;;;;2;;;;;;2;;;;;;4;11;4;15;14;23;5;8;6;21;26;23;9;19;10;46;;16
Paysandu;36;275;50.4;42;27;7;8;89;5;52;43;1;2;117;12;0;0;9;1;0;;;;;4;;;;;;6;;;;;;7;6;6;26;28;27;3;7;9;16;25;16;10;13;15;43;Rebaixado;17
Ponte Preta;32;241;49.6;40;32;2;3;87;7;29;17;4;5;105;3;0;0;16;1;0;;;;;2;;;;;;2;;;;;;8;6;5;21;16;30;8;6;5;21;14;30;16;12;10;60;;5
Sampaio Corrêa;43;259;51.5;31;19;1;2;109;10;46;34;1;3;105;3;0;0;12;1;1;;;;;6;;;;;;0;;;;;;7;4;8;21;22;25;3;4;12;11;25;13;10;8;20;38;Rebaixado;18
São Bento;42;288;46.9;41;25;6;8;96;4;41;24;7;7;111;6;0;0;9;0;0;;;;;0;;;;;;3;;;;;;9;7;3;24;17;34;2;7;10;17;24;13;11;14;13;47;;13
Vila Nova;31;288;48.9;41;31;4;5;91;6;36;19;8;8;83;1;0;0;15;0;0;;;;;4;;;;;;1;;;;;;8;10;1;21;9;34;6;5;8;20;27;23;14;15;9;57;;7
