Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
Avaí;32;315;52.2;38;29;1;3;85;4;28;20;2;3;79;5;109;82;15;0;1;518;148;378;113;1;552;30;810;355;333;2;570;82;623;410;324;9;6;3;22;13;33;7;4;6;18;16;25;16;10;9;58;Glédson;3
Botafogo (RJ);39;269;48.4;50;37;4;5;64;2;26;15;2;4;99;6;101;76;19;2;0;443;152;389;104;2;548;74;679;447;313;2;620;42;629;384;319;14;1;2;35;10;43;4;8;6;16;18;20;18;9;8;63;Diego;1
Brasil de Pelotas;42;264;45.4;20;11;2;3;92;5;44;32;7;9;78;6;152;117;6;2;0;350;109;544;164;4;616;61;554;391;351;3;553;45;793;386;367;4;6;8;14;20;18;0;5;12;8;25;5;4;11;20;23;Matheus Nogueira da Silva;20
Brusque Futebol Clube;36;295;50.9;38;26;7;8;77;2;52;33;5;8;81;1;152;108;11;5;0;462;128;498;167;1;532;82;787;393;348;0;603;47;730;403;301;7;5;5;22;16;26;4;3;11;17;38;15;11;8;16;41;Ruan;16
CRB;30;285;51.2;42;29;7;8;78;4;35;27;0;0;79;5;145;110;10;0;0;400;126;504;146;2;479;52;571;375;337;3;582;40;740;345;316;7;9;2;23;16;30;8;3;6;20;19;27;15;12;8;57;Diogo Silva;5
CSA;42;288;50.3;43;29;3;4;88;2;33;28;4;5;94;2;135;107;12;1;0;391;130;485;141;1;556;69;610;377;384;2;574;59;736;393;312;8;5;4;24;15;29;8;2;8;19;18;26;16;7;12;55;Thiago Rodrigues;7
Confiança;45;300;45.3;35;20;6;8;92;4;45;31;5;5;98;8;150;108;9;0;0;417;126;488;153;1;591;59;633;358;296;5;581;67;747;369;294;6;3;9;20;24;21;3;5;9;15;23;14;9;8;18;35;Rafael Santos;19
Coritiba;33;297;51.8;43;32;2;4;86;2;30;24;3;5;88;4;105;78;15;1;1;429;136;409;110;1;509;50;671;360;357;1;526;58;707;363;306;10;5;2;27;12;35;7;5;6;18;18;26;17;10;8;61;Wilson;2
Cruzeiro;38;286;52.2;38;29;2;3;87;8;39;26;7;8;87;2;109;77;13;1;0;514;159;385;117;5;583;54;774;338;349;1;572;36;519;387;327;5;9;4;24;24;24;5;7;5;17;16;22;10;16;9;46;Fábio;11
Goiás;34;275;48.9;42;29;1;1;85;2;28;20;3;4;88;7;121;95;14;0;1;475;169;412;124;1;709;75;719;435;355;5;538;62;732;374;316;10;6;2;28;14;36;5;7;5;15;15;22;15;13;7;58;Tadeu;4
Guarani;31;277;51.5;47;36;6;7;95;6;35;21;5;6;61;6;118;87;15;1;0;481;153;399;126;4;601;45;611;421;301;0;535;52;628;383;321;9;4;4;24;15;31;6;7;5;24;22;25;15;11;9;56;Rafael Martins;6
Londrina;42;269;47.3;25;15;2;4;102;3;36;28;2;4;93;2;145;109;13;0;2;416;137;486;148;2;761;40;635;420;339;1;657;52;681;394;345;4;5;8;12;18;17;5;6;7;13;20;21;9;11;15;38;César Reis;17
Náutico;40;269;54.1;46;34;3;5;88;8;45;31;1;2;81;3;165;120;8;1;0;542;171;494;170;3;661;66;767;359;356;1;611;103;598;457;371;7;6;4;27;22;27;6;4;8;20;25;22;13;10;12;49;Alex Alves de Lima;8
Operário;35;301;50.7;32;21;3;4;86;6;40;27;3;6;72;7;127;90;12;2;1;492;142;440;134;3;632;40;718;463;320;3;593;57;665;406;348;8;4;6;20;20;28;4;5;8;12;21;17;12;9;14;45;Simão Bertelli;12
Ponte Preta;34;260;48.7;32;21;4;4;67;3;35;24;4;5;87;2;122;89;10;0;1;443;129;440;126;2;515;52;733;364;293;1;575;52;709;366;302;8;7;3;23;15;31;2;6;9;11;21;12;10;13;12;43;Ivan;14
Remo;37;284;52.0;27;22;2;3;84;4;38;26;5;7;93;9;136;104;7;2;0;444;112;436;147;0;536;56;662;422;293;5;624;79;631;369;309;7;3;7;11;12;24;4;5;9;18;27;17;11;8;16;41;Damião Vinícius Ribeiro;15
Sampaio Corrêa;41;319;47.4;38;24;5;6;89;6;36;25;6;7;75;3;143;112;14;1;0;360;101;484;153;0;606;60;593;355;335;1;572;60;685;385;335;9;4;5;24;15;31;3;6;8;14;22;15;12;10;13;46;Willis Mota;10
Vasco da Gama;34;285;53.8;38;28;3;6;85;7;44;30;3;3;93;3;150;108;8;0;0;426;150;465;153;2;534;64;672;384;345;0;582;70;650;411;408;9;3;6;23;22;30;4;5;8;16;23;17;13;8;14;47;Vanderlei;9
Vila Nova;39;285;47.4;29;24;3;3;85;3;33;25;3;3;88;2;127;96;12;0;0;472;134;429;130;3;566;60;657;390;314;2;615;28;704;427;351;5;9;3;9;8;24;5;5;8;21;25;20;10;14;11;44;Georgemy Gonçalves;13
Vitória;39;258;51.3;27;17;5;6;86;5;28;20;1;1;87;3;102;75;14;0;0;472;118;382;104;1;605;44;666;395;325;1;609;42;615;390;372;4;7;6;15;13;19;3;9;6;12;15;18;7;16;12;37;Lucas Willians;18
