Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
Avaí;32;315;52.1;36;28;1;3;80;4;26;19;2;3;71;5;103;78;15;0;1;482;139;358;107;1;529;28;745;343;317;2;529;82;598;390;306;9;4;3;20;11;31;7;4;6;18;16;25;16;8;9;56;Glédson;3
Botafogo (RJ);39;268;48.5;46;33;4;5;60;2;26;15;2;4;93;5;97;72;17;2;0;422;143;371;100;2;530;70;635;426;292;1;598;41;588;368;305;14;1;2;35;10;43;3;7;6;12;18;16;17;8;8;59;Diego;2
Brasil de Pelotas;42;263;45.3;19;10;2;3;88;5;41;30;7;9;76;6;140;108;6;2;0;329;101;513;152;4;581;58;521;372;331;3;529;44;758;357;342;4;6;7;14;19;18;0;5;11;7;23;5;4;11;18;23;Matheus Nogueira da Silva;20
Brusque Futebol Clube;36;295;51.0;36;26;6;7;72;2;47;30;4;7;74;1;142;102;11;5;0;436;118;468;156;1;497;80;745;379;324;0;574;45;688;380;291;7;5;5;22;16;26;4;3;9;15;33;15;11;8;14;41;Zé Carlos;13
CRB;30;285;50.8;41;28;7;8;73;4;34;27;0;0;77;5;140;106;9;0;0;379;123;485;141;2;446;51;542;352;319;3;556;40;701;326;296;6;9;2;22;16;27;8;3;5;20;18;27;14;12;7;54;Diogo Silva;5
CSA;41;288;50.6;40;27;3;4;81;2;32;27;4;5;90;2;128;101;11;1;0;366;122;449;134;1;516;68;583;355;367;2;544;58;669;378;298;7;5;4;22;15;26;8;1;8;18;17;25;15;6;12;51;Thiago Rodrigues;7
Confiança;45;299;45.2;32;18;5;7;84;4;43;31;4;4;94;8;145;104;8;0;0;383;116;463;147;1;558;56;584;330;279;5;552;61;709;354;275;5;2;9;17;22;17;3;5;9;15;23;14;8;7;18;31;Rafael Santos;19
Coritiba;33;297;51.4;42;31;2;4;83;1;26;20;3;5;83;3;95;72;15;1;1;399;128;370;99;1;484;47;613;345;347;1;494;54;671;340;291;10;5;2;27;12;35;7;5;4;16;14;26;17;10;6;61;Wilson;1
Cruzeiro;38;285;52.6;35;27;2;3;81;8;39;26;7;8;83;2;102;70;11;1;0;483;149;363;110;5;552;49;743;311;333;1;531;36;478;369;304;4;9;4;22;24;21;4;7;5;16;16;19;8;16;9;40;Fábio;15
Goiás;34;274;49.2;39;27;1;1;81;2;27;19;3;4;86;6;116;92;14;0;1;439;156;387;120;1;675;72;674;405;341;5;508;60;679;353;304;9;6;2;26;13;33;5;6;5;14;14;21;14;12;7;54;Tadeu;4
