Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
América (MG);35;269;49.2;42;30;2;5;68;1;32;23;3;3;107;5;113;82;18;0;0;590;169;408;118;1;562;66;709;518;412;2;662;83;635;489;391;9;4;6;23;21;31;8;6;5;19;13;30;17;10;11;61;;5
Atl Goianiense;28;263;48.8;43;28;2;6;90;2;28;16;2;4;101;6;124;99;17;2;0;547;173;463;130;0;659;61;872;401;442;2;635;50;640;406;393;9;8;2;25;13;35;6;9;4;19;16;27;15;17;6;62;Promovido;4
Botafogo (SP);27;266;49.3;37;22;4;5;85;5;37;28;3;5;85;1;125;94;16;2;0;460;136;472;131;2;583;53;718;396;416;0;620;34;633;397;400;6;6;7;19;19;24;7;5;7;19;19;26;13;11;14;50;;9
Bragantino;32;274;60.0;62;39;5;6;79;7;27;15;1;3;93;7;110;85;18;1;1;650;210;385;116;3;617;44;856;361;411;3;550;81;582;450;374;13;6;0;40;12;45;9;3;7;24;15;30;22;9;7;75;Promovido;1
Brasil de Pelotas;33;292;45.1;29;17;2;2;107;3;45;32;3;5;80;5;154;112;11;2;0;416;111;527;161;3;702;55;577;495;404;2;662;63;777;423;432;7;6;6;15;17;27;4;5;10;16;30;17;11;11;16;44;;14
CRB;39;272;45.6;44;31;2;2;89;6;43;28;3;5;105;8;172;133;13;1;1;457;144;624;178;4;574;69;603;353;383;7;606;50;830;358;432;7;6;6;21;20;27;8;4;7;23;23;28;15;10;13;55;;7
Coritiba;40;260;49.7;46;37;3;5;105;4;34;22;1;3;100;6;119;87;15;1;1;474;146;539;124;3;660;60;691;348;424;4;565;47;796;420;436;12;4;3;25;13;40;6;8;5;23;21;26;18;12;8;66;Promovido;3
Criciúma;33;279;53.3;29;20;3;3;109;8;36;25;3;3;101;9;119;84;9;0;0;505;125;457;125;5;635;51;959;408;368;8;620;58;668;411;413;6;8;5;19;16;26;2;7;10;11;22;13;8;15;15;39;Rebaixado;19
Cuiabá;39;283;48.4;39;25;5;9;84;3;40;26;1;2;84;0;120;83;13;2;0;563;164;460;126;1;654;70;742;354;404;0;542;54;695;395;411;8;5;6;30;23;29;5;8;6;13;17;23;13;13;12;52;;8
Figueirense;44;274;50.9;31;22;1;3;86;4;32;23;5;5;97;6;125;95;14;0;0;492;133;476;129;2;583;49;630;377;369;4;709;48;638;380;368;4;9;6;18;22;21;3;11;5;13;16;20;7;20;11;41;;16
Guarani;42;273;50.7;26;16;3;5;96;4;37;26;3;4;113;5;140;106;15;0;1;474;131;524;146;3;670;40;638;398;447;4;745;68;791;408;419;10;2;7;17;15;32;2;6;11;10;22;12;12;8;18;44;;13
Londrina;48;253;47.6;35;24;3;7;97;9;53;37;7;9;78;1;174;129;10;1;1;455;130;577;186;5;654;44;630;399;417;1;635;55;716;408;399;7;4;8;21;21;25;4;2;13;16;32;14;11;6;21;39;Rebaixado;17
Oeste;43;266;49.7;40;25;3;3;117;3;45;23;5;9;80;0;169;126;11;1;3;512;152;555;170;0;676;61;651;558;407;0;562;38;784;378;401;5;9;5;20;20;24;3;8;8;21;29;17;8;17;13;41;;15
Operário;38;288;50.5;30;17;4;4;90;5;39;25;1;2;112;3;154;114;12;0;1;461;136;476;153;4;678;63;720;423;371;0;705;46;682;423;418;11;3;5;21;16;36;2;8;9;11;25;14;13;11;14;50;;10
Paraná;36;264;48.6;33;22;2;3;97;3;33;21;2;4;106;5;154;125;17;2;0;491;148;598;164;1;665;53;692;387;348;3;596;46;787;405;406;7;10;2;15;9;31;7;4;8;19;24;25;14;14;10;56;;6
Ponte Preta;46;260;53.1;39;27;4;5;103;6;39;27;5;6;94;11;143;110;14;1;0;505;150;499;150;2;646;66;731;384;422;7;660;55;693;411;387;8;6;5;27;18;30;3;8;8;14;21;17;11;14;13;47;;11
